시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250915,1101.00,서리태밥 (5)<br/>고구마치즈미트볼 (1.2.5.6.9.10.13.15.16)<br/>묵은지등뼈감자찜 (5.6.9.10.13)<br/>깻잎순나물 (5.6.13.18)<br/>깍두기 (9)<br/>루비에스미니사과 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1141.2 Kcal,탄수화물(g) : 135.5<br/>단백질(g) : 51.7<br/>지방(g) : 41.8<br/>비타민A(R.E) : 430.6<br/>티아민(mg) : 1.4<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 20.0<br/>칼슘(mg) : 305.4<br/>철분(mg) : 4.3,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250916,1101.00,귀리밥 <br/>꼬기얼큰짬뽕 (6.9.10.13.17.18)<br/>콩나물무침 (5)<br/>콰사삭빠삭순살치킨 (1.5.6.15)<br/>오이소박이 (9)<br/>레몬에이드 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,633.0 Kcal,탄수화물(g) : 98.9<br/>단백질(g) : 19.4<br/>지방(g) : 17.1<br/>비타민A(R.E) : 102.9<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 13.0<br/>칼슘(mg) : 157.1<br/>철분(mg) : 2.1,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250917,1101.00,찰옥수수밥 <br/>맑은아귀탕 (5.13)<br/>비름나물무침 (5.6.13.18)<br/>토마토닭볶음 (5.6.12.13.15)<br/>배추김치 (9)<br/>파인애플 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,926.3 Kcal,탄수화물(g) : 117.9<br/>단백질(g) : 59.3<br/>지방(g) : 22.5<br/>비타민A(R.E) : 344.1<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 1.0<br/>비타민C(mg) : 43.7<br/>칼슘(mg) : 291.5<br/>철분(mg) : 6.5,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250918,1101.00,열무비빔밥&달걀후라이 (5.6.9.13)<br/>유부팽이버섯장국 (5.6)<br/>생과일요거트샐러드 (2.12)<br/>불맛너비아니 (1.2.5.6.10.12.13.15.16)<br/>총각김치 (9)<br/>사르르밤콘 (2.5),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1142.7 Kcal,탄수화물(g) : 180.6<br/>단백질(g) : 38.1<br/>지방(g) : 30.0<br/>비타민A(R.E) : 245.1<br/>티아민(mg) : 2.3<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 23.2<br/>칼슘(mg) : 393.5<br/>철분(mg) : 5.6,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250919,1101.00,찰흑미밥 <br/>순두부계란탕 (5.9.10)<br/>오삼불고기&콩나물 (5.6.10.13.17.18)<br/>버섯미역줄기볶음 (5)<br/>갈떡갈떡꼬치 (5.6.10.12.13.15.16)<br/>배추김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1206.6 Kcal,탄수화물(g) : 122.7<br/>단백질(g) : 69.9<br/>지방(g) : 46.9<br/>비타민A(R.E) : 180.4<br/>티아민(mg) : 2.4<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 14.2<br/>칼슘(mg) : 249.8<br/>철분(mg) : 12.6,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250922,1101.00,강황밥 <br/>꽃게해물찌개 (5.6.8.9.13.17.18)<br/>알감자버터구이 (2.13)<br/>정육스테이크&새싹 (5.6.12.13.15)<br/>배추김치 (9)<br/>농후발효유런 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,926.0 Kcal,탄수화물(g) : 141.2<br/>단백질(g) : 51.0<br/>지방(g) : 14.6<br/>비타민A(R.E) : 147.3<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 28.4<br/>칼슘(mg) : 221.2<br/>철분(mg) : 4.3,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250923,1101.00,차수수밥 <br/>파송송순대국&다대기 (2.5.6.9.10.13.16)<br/>오이부추무침 (13)<br/>해물우동볶음 (5.6.7.9.12.13.17.18)<br/>석박지 (9)<br/>젤리펀톡 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1010.4 Kcal,탄수화물(g) : 173.9<br/>단백질(g) : 42.5<br/>지방(g) : 12.9<br/>비타민A(R.E) : 97.8<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 9.5<br/>칼슘(mg) : 196.0<br/>철분(mg) : 5.1,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250924,1101.00,서리태밥 (5)<br/>건새우아욱국 (5.6.9)<br/>옛날떡볶이 (1.5.6.13)<br/>삼겹살오븐구이&상추쌈 (5.6.10)<br/>보쌈김치 (9)<br/>청포도에이드 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1430.7 Kcal,탄수화물(g) : 162.6<br/>단백질(g) : 46.5<br/>지방(g) : 63.3<br/>비타민A(R.E) : 322.0<br/>티아민(mg) : 1.2<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 30.5<br/>칼슘(mg) : 431.6<br/>철분(mg) : 4.7,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250925,1101.00,하이라이스 (1.2.5.6.10.12.16)<br/>맑은무채국 (5.9)<br/>사과참나물무침 (5.6.13)<br/>포테이토생선까스&콘소스 (1.5.6.13)<br/>배추김치 (9)<br/>복숭아쿨 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1056.0 Kcal,탄수화물(g) : 159.4<br/>단백질(g) : 41.2<br/>지방(g) : 26.3<br/>비타민A(R.E) : 104.7<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 56.6<br/>칼슘(mg) : 298.5<br/>철분(mg) : 4.6,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250926,1101.00,잡곡밥 (5)<br/>사골떡만두국&김가루 (1.5.6.10.13.16.18)<br/>돈오리불고기 (5.6.10.13)<br/>고구마줄기볶음 (5)<br/>배추김치 (9)<br/>귤 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1028.5 Kcal,탄수화물(g) : 129.9<br/>단백질(g) : 45.4<br/>지방(g) : 34.4<br/>비타민A(R.E) : 125.4<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 47.8<br/>칼슘(mg) : 154.3<br/>철분(mg) : 3.9,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250929,1101.00,깍두기볶음밥&달걀후라이 (1.2.5.6.9.10.13.15.16.18)<br/>가스오어묵국 (1.5.6.7.13.18)<br/>사과양배추샐러드 (1.2.5.6.13)<br/>크런키페이츄리돈파이 (1.5.6.10)<br/>오이김치 (9)<br/>미니윌 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1060.5 Kcal,탄수화물(g) : 130.8<br/>단백질(g) : 26.4<br/>지방(g) : 47.3<br/>비타민A(R.E) : 82.9<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 22.9<br/>칼슘(mg) : 250.1<br/>철분(mg) : 3.4,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250930,1101.00,강황밥 <br/>감자고추장찌개 (5.6.10.13)<br/>감자튀김/케첩 (5.6.12)<br/>열무김치 (9)<br/>미니불고기버거(수제) (1.2.5.6)<br/>대추방울토마토 (12),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,952.2 Kcal,탄수화물(g) : 161.0<br/>단백질(g) : 27.3<br/>지방(g) : 20.6<br/>비타민A(R.E) : 138.6<br/>티아민(mg) : 0.8<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 25.3<br/>칼슘(mg) : 285.2<br/>철분(mg) : 4.9,20250831

